,LatitudeDegrees,LongitudeDegrees,Time,Delta_Distance(km),Distance_Travelled(km),Delta_Time,TimeSeconds
0,38.9436726333,-77.3504900594,2020-03-26 17:22:04.780619,0.0,0.0,0.0,0.0
1,38.9436775684,-77.3504978912,2020-03-26 17:22:05.780890,0.0008717219488592733,0.0008717219488592733,1.000271,1.000271
2,38.9436818428,-77.3505088521,2020-03-26 17:22:06.780573,0.0010604174829038678,0.0019321394317631411,0.999683,1.9999539999999998
3,38.9436891935,-77.3505308282,2020-03-26 17:22:07.782693,0.0020688737281458216,0.004001013159908962,1.00212,3.0020739999999995
4,38.9436980823,-77.3505671583,2020-03-26 17:22:08.868457,0.0032937471980792016,0.007294760357988164,1.085764,4.087838
5,38.9437040761,-77.3506073234,2020-03-26 17:22:09.868415,0.0035369753441108842,0.010831735702099048,0.999958,5.087796
6,38.9437061428,-77.3506459681,2020-03-26 17:22:10.806602,0.0033500165992522636,0.01418175230135131,0.938187,6.025983
7,38.9437066377,-77.350682899,2020-03-26 17:22:11.801963,0.003194383832854321,0.017376136134205633,0.995361,7.021344
8,38.9437024522,-77.3507215787,2020-03-26 17:22:12.868535,0.0033773725391525724,0.020753508673358206,1.066572,8.087916
9,38.9436960031,-77.3507652219,2020-03-26 17:22:13.799436,0.0038419310126004136,0.02459543968595862,0.930901,9.018817
10,38.9436885899,-77.3508106253,2020-03-26 17:22:14.798993,0.0040122310794561975,0.028607670765414817,0.999557,10.018374
11,38.94367881,-77.3508550848,2020-03-26 17:22:15.868610,0.003995835819044963,0.03260350658445978,1.069617,11.087990999999999
12,38.9436671996,-77.350898674,2020-03-26 17:22:16.802129,0.003984682681073647,0.03658818926553342,0.933519,12.02151
13,38.9436557348,-77.3509379528,2020-03-26 17:22:17.878344,0.0036283006387664717,0.04021648990429989,1.076215,13.097724999999999
14,38.9436525747,-77.3509742201,2020-03-26 17:22:18.866000,0.0031561434286856965,0.04337263333298559,0.987656,14.085380999999998
15,38.943655133,-77.3510064964,2020-03-26 17:22:19.799453,0.0028058240425953935,0.04617845737558098,0.933453,15.018833999999998
16,38.9436616651,-77.3510343618,2020-03-26 17:22:20.870423,0.002516975174551812,0.0486954325501328,1.07097,16.089803999999997
17,38.9436741741,-77.3510587134,2020-03-26 17:22:21.802074,0.0025238831302723764,0.05121931568040517,0.931651,17.021454999999996
18,38.9436914809,-77.3510769618,2020-03-26 17:22:22.797087,0.0024887928504498604,0.05370810853085503,0.995013,18.016467999999996
19,38.9437111654,-77.3510875394,2020-03-26 17:22:23.800661,0.0023722885248689918,0.05608039705572402,1.003574,19.020041999999997
20,38.9437316198,-77.3510911429,2020-03-26 17:22:24.797300,0.0022956769504529663,0.05837607400617699,0.996639,20.016681
