,LatitudeDegrees,LongitudeDegrees,Time,Delta_Distance(km),Distance_Travelled(km),Delta_Time,TimeSeconds
0,38.9435215066,-77.3509390432,2020-05-27 19:55:31.215620,0.0,0.0,0.0,0.0
1,38.9435440565,-77.3509604907,2020-05-27 19:55:32.215138,0.0031189298005665075,0.0031189298005665075,0.999518,0.999518
2,38.9435680827,-77.3509805007,2020-05-27 19:55:33.221819,0.003183105081140581,0.006302034881707089,1.006681,2.006199
3,38.9435936377,-77.3509973856,2020-05-27 19:55:34.221891,0.003194838053026101,0.00949687293473319,1.000072,3.006271
4,38.9436172298,-77.3510139086,2020-05-27 19:55:35.215848,0.002987267114342604,0.012484140049075793,0.993957,4.000228
5,38.9436379975,-77.351032837,2020-05-27 19:55:36.222257,0.0028306262668104792,0.015314766315886272,1.006409,5.006637
6,38.943658521,-77.3510529324,2020-05-27 19:55:37.216034,0.002868516609715833,0.018183282925602104,0.993777,6.000413999999999
7,38.9436799184,-77.3510730496,2020-05-27 19:55:38.221979,0.0029475252298150688,0.021130808155417173,1.005945,7.006359
8,38.943702518,-77.3510909845,2020-05-27 19:55:39.215894,0.002953099215305566,0.02408390737072274,0.993915,8.000274
9,38.9437285798,-77.3511006231,2020-05-27 19:55:40.221756,0.003015445155325566,0.027099352526048306,1.005862,9.006136
10,38.9437558596,-77.3511074831,2020-05-27 19:55:41.215726,0.0030908481485216305,0.030190200674569935,0.99397,10.000105999999999
11,38.9437821434,-77.3511035844,2020-05-27 19:55:42.215814,0.0029420101038078418,0.033132210778377774,1.000088,11.000193999999999
12,38.9438080263,-77.351091264,2020-05-27 19:55:43.221945,0.0030689516733735183,0.03620116245175129,1.006131,12.006324999999999
13,38.9438343144,-77.3510742706,2020-05-27 19:55:44.221935,0.003271756184753921,0.03947291863650521,0.99999,13.006314999999999
14,38.9438595716,-77.3510525142,2020-05-27 19:55:45.221774,0.0033805028872073806,0.04285342152371259,0.999839,14.006153999999999
15,38.9438864725,-77.3510250078,2020-05-27 19:55:46.222064,0.0038218352481003462,0.04667525677181294,1.00029,15.006443999999998
16,38.9439194293,-77.3509980218,2020-05-27 19:55:47.221951,0.00434468515995986,0.0510199419317728,0.999887,16.006331
17,38.9439498258,-77.350970045,2020-05-27 19:55:48.215881,0.004156687761466234,0.055176629693239033,0.99393,17.000261
18,38.9439806326,-77.3509399105,2020-05-27 19:55:49.222023,0.004304224119665859,0.059480853812904896,1.006142,18.006403
19,38.9440095735,-77.3509085892,2020-05-27 19:55:50.215789,0.004206356579585598,0.06368721039249049,0.993766,19.000169
20,38.9440317571,-77.3508680483,2020-05-27 19:55:51.219367,0.004286882309981831,0.06797409270247232,1.003578,20.003747
21,38.9440515602,-77.3508264673,2020-05-27 19:55:52.215813,0.004216680311009279,0.07219077301348159,0.996446,21.000193
22,38.9440679764,-77.3507836713,2020-05-27 19:55:53.215869,0.004126791201411932,0.07631756421489352,1.000056,22.000249
23,38.9440833853,-77.3507416062,2020-05-27 19:55:54.222113,0.004021209773310386,0.08033877398820391,1.006244,23.006493
24,38.9440995361,-77.3507023729,2020-05-27 19:55:55.221958,0.0038389753918131706,0.08417774938001708,0.999845,24.006338
25,38.9441156006,-77.3506632684,2020-05-27 19:55:56.222086,0.003824641998150339,0.08800239137816743,1.000128,25.006466
26,38.9441331241,-77.3506267601,2020-05-27 19:55:57.222417,0.003710197240675765,0.0917125886188432,1.000331,26.006797
27,38.9441491381,-77.350591836,2020-05-27 19:55:58.222063,0.0035061713124520206,0.09521875993129522,0.999646,27.006442999999997
28,38.9441667533,-77.3505565439,2020-05-27 19:55:59.222118,0.0036266067299727095,0.09884536666126793,1.000055,28.006497999999997
29,38.9441850389,-77.3505192526,2020-05-27 19:56:00.222073,0.003812500933985298,0.10265786759525324,0.999955,29.006452999999997
30,38.9442041824,-77.3504874733,2020-05-27 19:56:01.215859,0.003476304471629387,0.10613417206688262,0.993786,30.000238999999997
31,38.9442219804,-77.3504524995,2020-05-27 19:56:02.222033,0.003614557234161197,0.10974872930104382,1.006174,31.006413
32,38.944238008,-77.3504166331,2020-05-27 19:56:03.221111,0.0035773612567228446,0.11332609055776666,0.999078,32.005491
33,38.9442591751,-77.3503800795,2020-05-27 19:56:04.222157,0.0039412330259764134,0.11726732358374307,1.001046,33.006537
34,38.9442788308,-77.3503466538,2020-05-27 19:56:05.221949,0.0036239918708941186,0.12089131545463719,0.999792,34.006329
35,38.9442958867,-77.3503157507,2020-05-27 19:56:06.222585,0.0032771215342288947,0.12416843698886608,1.000636,35.006965
36,38.9443107445,-77.3502847189,2020-05-27 19:56:07.222121,0.0031514741453909467,0.12731991113425703,0.999536,36.006501
37,38.9443228711,-77.3502520368,2020-05-27 19:56:08.222181,0.003131606673538578,0.1304515178077956,1.00006,37.006561
38,38.9443323443,-77.3502197601,2020-05-27 19:56:09.220321,0.0029835151282785904,0.1334350329360742,0.99814,38.004701
39,38.9443420103,-77.3501873058,2020-05-27 19:56:10.222140,0.0030054896914549155,0.13644052262752912,1.001819,39.006519999999995
40,38.9443487084,-77.3501546419,2020-05-27 19:56:11.222200,0.0029213954361479422,0.13936191806367706,1.00006,40.00657999999999
41,38.944345091,-77.3501207554,2020-05-27 19:56:12.222175,0.0029580687984047923,0.14231998686208186,0.999975,41.00655499999999
42,38.9443441397,-77.3500883928,2020-05-27 19:56:13.222170,0.002800800714801303,0.14512078757688315,0.999995,42.00654999999999
43,38.9443441354,-77.3500555147,2020-05-27 19:56:14.220436,0.0028433843265314716,0.14796417190341463,0.998266,43.00481599999999
44,38.944343757,-77.3500213953,2020-05-27 19:56:15.222062,0.002951035150862708,0.15091520705427733,1.001626,44.00644199999999
45,38.9443432139,-77.3499877737,2020-05-27 19:56:16.222189,0.002908311197052936,0.15382351825133025,1.000127,45.00656899999999
46,38.9443388326,-77.3499544445,2020-05-27 19:56:17.222116,0.0029232778852928587,0.15674679613662312,0.999927,46.00649599999999
47,38.9443338042,-77.3499194229,2020-05-27 19:56:18.215515,0.0030799378390945218,0.15982673397571764,0.993399,46.99989499999999
48,38.9443288817,-77.3498830646,2020-05-27 19:56:19.222090,0.003191646918703003,0.16301838089442064,1.006575,48.006469999999986
49,38.9443223147,-77.3498471537,2020-05-27 19:56:20.221485,0.003190360576665793,0.16620874147108644,0.999395,49.005864999999986
50,38.9443166326,-77.3498114474,2020-05-27 19:56:21.222454,0.003151950213072166,0.1693606916841586,1.000969,50.006833999999984
51,38.9443106179,-77.349772471,2020-05-27 19:56:22.220537,0.003436491674886018,0.17279718335904462,0.998083,51.004916999999985
52,38.9443057774,-77.3497321051,2020-05-27 19:56:23.216011,0.0035322001037870103,0.17632938346283164,0.995474,52.000390999999986
53,38.9443030012,-77.3496893778,2020-05-27 19:56:24.222253,0.003708043146837087,0.18003742660966873,1.006242,53.00663299999999
54,38.9443021249,-77.3496450214,2020-05-27 19:56:25.222257,0.0038372973560669996,0.18387472396573573,1.000004,54.006636999999984
55,38.9443024599,-77.3496007811,2020-05-27 19:56:26.222255,0.0038262007199868784,0.1877009246857226,0.999998,55.00663499999998
56,38.944304846,-77.3495573356,2020-05-27 19:56:27.222224,0.0037666391633719696,0.19146756384909458,0.999969,56.00660399999998
57,38.9443044439,-77.3495154057,2020-05-27 19:56:28.222209,0.003626485338447169,0.19509404918754175,0.999985,57.006588999999984
58,38.9443014125,-77.3494732067,2020-05-27 19:56:29.222219,0.00366501586913723,0.19875906505667898,1.00001,58.00659899999999
59,38.9442995355,-77.3494327303,2020-05-27 19:56:30.222095,0.0035067239340118637,0.20226578899069084,0.999876,59.00647499999999
60,38.9443009199,-77.3493924285,2020-05-27 19:56:31.222241,0.0034888052849428148,0.20575459427563364,1.000146,60.00662099999999
61,38.9443035763,-77.3493521621,2020-05-27 19:56:32.222343,0.003494850673913323,0.20924944494954698,1.000102,61.00672299999999
62,38.9443065077,-77.3493095181,2020-05-27 19:56:33.222274,0.003702343596088306,0.2129517885456353,0.999931,62.00665399999998
63,38.9443097868,-77.3492684535,2020-05-27 19:56:34.222235,0.003570044709325513,0.2165218332549608,0.999961,63.00661499999998
64,38.9443116662,-77.3492283935,2020-05-27 19:56:35.222113,0.0034707926075920885,0.2199926258625529,0.999878,64.00649299999998
65,38.9443114907,-77.3491880078,2020-05-27 19:56:36.222371,0.0034927173389334566,0.22348534320148633,1.000258,65.00675099999998
66,38.9443127495,-77.349147358,2020-05-27 19:56:37.221565,0.0035182883058055437,0.2270036315072919,0.999194,66.00594499999998
67,38.9443171946,-77.3491106063,2020-05-27 19:56:38.222304,0.003216587403538096,0.23022021891082997,1.000739,67.00668399999998
68,38.9443222077,-77.3490755895,2020-05-27 19:56:39.216683,0.0030792218820977625,0.23329944079292772,0.994379,68.00106299999997
69,38.9443229355,-77.3490379224,2020-05-27 19:56:40.222164,0.0032585556449409928,0.2365579964378687,1.005481,69.00654399999998
70,38.9443236052,-77.3490002882,2020-05-27 19:56:41.222284,0.0032555570294068715,0.23981355346727556,1.00012,70.00666399999997
71,38.9443221724,-77.3489611848,2020-05-27 19:56:42.221777,0.003385516389882591,0.24319906985715817,0.999493,71.00615699999997
72,38.9443224227,-77.3489219302,2020-05-27 19:56:43.222352,0.0033949558566496343,0.2465940257138078,1.000575,72.00673199999997
73,38.9443217183,-77.3488840023,2020-05-27 19:56:44.222350,0.003281040287939659,0.24987506600174747,0.999998,73.00672999999998
74,38.9443196214,-77.3488454282,2020-05-27 19:56:45.222246,0.0033441288441346923,0.2532191948458822,0.999896,74.00662599999998
75,38.9443185361,-77.3488056639,2020-05-27 19:56:46.217046,0.003441038949750393,0.2566602337956326,0.9948,75.00142599999998
76,38.9443167712,-77.3487670809,2020-05-27 19:56:47.217054,0.0033425263131601057,0.2600027601087927,1.000008,76.00143399999997
77,38.9443136791,-77.3487277263,2020-05-27 19:56:48.217219,0.0034208131972561407,0.2634235733060488,1.000165,77.00159899999997
78,38.944313991,-77.3486874445,2020-05-27 19:56:49.217057,0.003483849792858853,0.2669074230989077,0.999838,78.00143699999997
79,38.9443138482,-77.3486465828,2020-05-27 19:56:50.222028,0.0035338641250780454,0.27044128722398575,1.004971,79.00640799999996
80,38.9443144436,-77.3486068452,2020-05-27 19:56:51.217070,0.0034372509407013807,0.2738785381646871,0.995042,80.00144999999996
81,38.9443144923,-77.3485677109,2020-05-27 19:56:52.218267,0.0033844426120791427,0.27726298077676625,1.001197,81.00264699999997
82,38.944311008,-77.3485289438,2020-05-27 19:56:53.215775,0.0033749938006114137,0.28063797457737766,0.997508,82.00015499999996
