,LatitudeDegrees,LongitudeDegrees,Time,Delta_Distance(km),Distance_Travelled(km),Delta_Time,TimeSeconds
0,38.9437393356,-77.3504698297,2020-04-07 21:14:42.092365,0.0,0.0,0.0,0.0
1,38.9437467197,-77.3504459947,2020-04-07 21:14:43.088268,0.0022188392915051987,0.0022188392915051987,0.995903,0.995903
2,38.9437472101,-77.3504188326,2020-04-07 21:14:44.092237,0.002349702235132425,0.004568541526637624,1.003969,1.9998719999999999
3,38.94375487,-77.3503934878,2020-04-07 21:14:45.092174,0.002351574709627143,0.006920116236264767,0.999937,2.999809
4,38.9437693904,-77.3503768874,2020-04-07 21:14:46.090134,0.002160562430267958,0.009080678666532725,0.99796,3.997769
5,38.9437871224,-77.3503658134,2020-04-07 21:14:47.090058,0.0021919978295468633,0.011272676496079588,0.999924,4.997693
6,38.9438062753,-77.3503539758,2020-04-07 21:14:48.091180,0.0023629892431285713,0.013635665739208158,1.001122,5.9988150000000005
7,38.9438284994,-77.3503412887,2020-04-07 21:14:49.092369,0.002703841823694721,0.01633950756290288,1.001189,7.000004000000001
8,38.9438552776,-77.3503281619,2020-04-07 21:14:50.088211,0.0031866738086034196,0.0195261813715063,0.995842,7.995846
9,38.9438810406,-77.3503189157,2020-04-07 21:14:51.092426,0.002974225468400264,0.022500406839906565,1.004215,9.000061
10,38.9439090138,-77.3503156927,2020-04-07 21:14:52.090391,0.0031229419217406857,0.02562334876164725,0.997965,9.998026000000001
11,38.9439385142,-77.3503187539,2020-04-07 21:14:53.092258,0.0032909607237399897,0.02891430948538724,1.001867,10.999893000000002
12,38.9439684761,-77.3503283156,2020-04-07 21:14:54.092527,0.0034327014655363202,0.03234701095092356,1.000269,12.000162000000001
13,38.9439994057,-77.3503435968,2020-04-07 21:14:55.091477,0.0036843901821387204,0.03603140113306228,0.99895,12.999112000000002
14,38.9440314797,-77.350363023,2020-04-07 21:14:56.101607,0.003942360068732716,0.039973761201794994,1.01013,14.009242000000002
15,38.9440627191,-77.3503886271,2020-04-07 21:14:57.092444,0.00411941035941387,0.044093171561208865,0.990837,15.000079000000003
16,38.9440936539,-77.3504167466,2020-04-07 21:14:58.092523,0.004212612500686436,0.0483057840618953,1.000079,16.000158000000003
17,38.9441229962,-77.3504460488,2020-04-07 21:14:59.090533,0.004131243339980459,0.05243702740187576,0.99801,16.998168000000003
18,38.9441520284,-77.3504722078,2020-04-07 21:15:00.090020,0.003942019370025517,0.056379046771901274,0.999487,17.997655
19,38.9441776607,-77.3504910231,2020-04-07 21:15:01.091242,0.003281968553050796,0.05966101532495207,1.001222,18.998877
20,38.9442013043,-77.3505005802,2020-04-07 21:15:02.088670,0.0027559097734039645,0.06241692509835604,0.997428,19.996305
21,38.9442181176,-77.3504995271,2020-04-07 21:15:03.090359,0.0018717706984826051,0.06428869579683864,1.001689,20.997994
22,38.9442344036,-77.3504887249,2020-04-07 21:15:04.090396,0.002037687582428723,0.06632638337926737,1.000037,21.998030999999997
23,38.9442480111,-77.3504729298,2020-04-07 21:15:05.090548,0.0020384778784295968,0.06836486125769697,1.000152,22.998182999999997
24,38.9442608368,-77.3504503229,2020-04-07 21:15:06.090538,0.002419990284334408,0.07078485154203139,0.99999,23.998172999999998
25,38.9442767953,-77.3504216168,2020-04-07 21:15:07.090658,0.0030515694035171603,0.07383642094554854,1.00012,24.998292999999997
26,38.9442903489,-77.3503869975,2020-04-07 21:15:08.090079,0.0033518925445587314,0.07718831349010727,0.999421,25.997714
27,38.9443017991,-77.3503444432,2020-04-07 21:15:09.090527,0.0038942257127468054,0.08108253920285408,1.000448,26.998161999999997
28,38.9443111717,-77.3502948965,2020-04-07 21:15:10.088077,0.004409850636911601,0.08549238983976568,0.99755,27.995711999999997
29,38.9443210411,-77.3502418876,2020-04-07 21:15:11.091211,0.004713874798227873,0.09020626463799356,1.003134,28.998845999999997
30,38.9443295962,-77.3501848666,2020-04-07 21:15:12.091728,0.00502224307910817,0.09522850771710173,1.000517,29.999362999999995
31,38.9443385955,-77.3501268048,2020-04-07 21:15:13.091572,0.005120076439177775,0.10034858415627951,0.999844,30.999206999999995
32,38.9443473176,-77.3500688367,2020-04-07 21:15:14.090049,0.005106184874217155,0.10545476903049666,0.998477,31.997683999999996
33,38.9443649635,-77.3500093385,2020-04-07 21:15:15.091934,0.005506973226150608,0.11096174225664727,1.001885,32.999568999999994
34,38.944380737,-77.3499511653,2020-04-07 21:15:16.091862,0.005327938512797449,0.11628968076944472,0.999928,33.99949699999999
35,38.9443928597,-77.3498948231,2020-04-07 21:15:17.091190,0.00505563704726725,0.12134531781671197,0.999328,34.99882499999999
36,38.9444053943,-77.3498386047,2020-04-07 21:15:18.090183,0.005057747598173049,0.12640306541488502,0.998993,35.99781799999999
37,38.9444141212,-77.3497871272,2020-04-07 21:15:19.091027,0.004556436043817717,0.13095950145870275,1.000844,36.99866199999999
38,38.9444211293,-77.3497376221,2020-04-07 21:15:20.090697,0.00435166749057719,0.13531116894927994,0.99967,37.99833199999999
39,38.9444243035,-77.3496446052,2020-04-07 21:15:21.089022,0.008052075899752072,0.143363244849032,0.998325,38.99665699999999
40,38.9444243602,-77.3496014074,2020-04-07 21:15:23.090604,0.0037358600916383854,0.1470991049406704,2.001582,40.99823899999999
41,38.9444229041,-77.3495587395,2020-04-07 21:15:24.088354,0.0036935781730917895,0.1507926831137622,0.99775,41.995988999999994
42,38.9444196261,-77.3495174614,2020-04-07 21:15:25.090084,0.003588394608122798,0.154381077721885,1.00173,42.997719
43,38.9444147918,-77.349477299,2020-04-07 21:15:26.092371,0.0035146966454677343,0.15789577436735275,1.002287,44.000006
44,38.9444104228,-77.3494416055,2020-04-07 21:15:27.090815,0.0031248590813014055,0.16102063344865417,0.998444,44.99845
45,38.9444129918,-77.349406338,2020-04-07 21:15:28.089849,0.0030633709438583775,0.16408400439251256,0.999034,45.997484
46,38.9444127466,-77.3493708173,2020-04-07 21:15:29.092631,0.00307204127695256,0.16715604566946513,1.002782,47.000266
47,38.9444122543,-77.3493344381,2020-04-07 21:15:30.091521,0.0031466417540128573,0.17030268742347798,0.99889,47.999156000000006
48,38.9444096088,-77.3492973972,2020-04-07 21:15:31.092711,0.003216869355154393,0.17351955677863237,1.00119,49.00034600000001
49,38.9444067765,-77.3492640154,2020-04-07 21:15:32.088144,0.0029040704709788604,0.17642362724961122,0.995433,49.995779000000006
50,38.944407202,-77.3492296644,2020-04-07 21:15:33.088433,0.00297113864684329,0.1793947658964545,1.000289,50.99606800000001
51,38.9444063516,-77.3491950491,2020-04-07 21:15:34.091637,0.002995112325479047,0.18238987822193356,1.003204,51.999272000000005
52,38.9444043006,-77.3491592136,2020-04-07 21:15:35.092511,0.0031075252896227736,0.18549740351155633,1.000874,53.00014600000001
53,38.944403723,-77.3491193418,2020-04-07 21:15:36.092760,0.003448812969847758,0.18894621648140408,1.000249,54.000395000000005
54,38.9444023103,-77.349079251,2020-04-07 21:15:37.092488,0.003470711284879579,0.19241692776628366,0.999728,55.000123
55,38.9444004429,-77.3490395219,2020-04-07 21:15:38.092499,0.003442142711693278,0.19585907047797693,1.000011,56.000134
56,38.9443984688,-77.3489983105,2020-04-07 21:15:39.091268,0.0035708205158032657,0.1994298909937802,0.998769,56.998903000000006
57,38.9443952167,-77.3489592459,2020-04-07 21:15:40.090504,0.00339770472985684,0.20282759572363704,0.999236,57.99813900000001
58,38.9443898475,-77.348920071,2020-04-07 21:15:41.092566,0.0034401480462526255,0.20626774376988966,1.002062,59.00020100000001
59,38.9443821962,-77.3488825165,2020-04-07 21:15:42.092634,0.003357395451939235,0.2096251392218289,1.000068,60.00026900000001
60,38.9443767261,-77.3488442988,2020-04-07 21:15:43.092542,0.0033606669224531377,0.21298580614428203,0.999908,61.00017700000001
61,38.9443720911,-77.3488043392,2020-04-07 21:15:44.092654,0.003494029846331826,0.21647983599061385,1.000112,62.00028900000001
62,38.944366655,-77.3487626469,2020-04-07 21:15:45.092555,0.003655974640210134,0.220135810630824,0.999901,63.00019000000001
63,38.9443601657,-77.3487169859,2020-04-07 21:15:46.089742,0.004014267319367759,0.22415007795019176,0.997187,63.99737700000001
64,38.9443562847,-77.3486720373,2020-04-07 21:15:47.092526,0.003911152879757174,0.22806123082994895,1.002784,65.000161
65,38.9443506459,-77.3486286054,2020-04-07 21:15:48.092638,0.0038080775157401095,0.23186930834568906,1.000112,66.000273
66,38.9443427937,-77.3485871534,2020-04-07 21:15:49.089384,0.003689673922225541,0.2355589822679146,0.996746,66.99701900000001
67,38.9443345877,-77.3485498225,2020-04-07 21:15:50.090809,0.0033549426312370185,0.23891392489915161,1.001425,67.998444
68,38.9443277962,-77.3485093623,2020-04-07 21:15:51.092588,0.003579669234827115,0.24249359413397872,1.001779,69.000223
69,38.9443215369,-77.3484712684,2020-04-07 21:15:52.089756,0.003367178977896014,0.24586077311187474,0.997168,69.99739100000001
70,38.9443159838,-77.3484340076,2020-04-07 21:15:53.092631,0.003281039729905154,0.24914181284177989,1.002875,71.00026600000001
71,38.9443096994,-77.34839564,2020-04-07 21:15:54.092545,0.003390916227484582,0.2525327290692645,0.999914,72.00018000000001
72,38.9442999273,-77.3483610009,2020-04-07 21:15:55.091205,0.0031866638569384444,0.25571939292620294,0.99866,72.99884000000002
73,38.944287312,-77.3483336027,2020-04-07 21:15:56.089989,0.0027535641637063068,0.25847295708990925,0.998784,73.99762400000002
74,38.9442680024,-77.3483115792,2020-04-07 21:15:57.090947,0.0028701679096902037,0.26134312499959944,1.000958,74.99858200000001
75,38.9442443402,-77.3483010092,2020-04-07 21:15:58.090227,0.0027853894475983786,0.2641285144471978,0.99928,75.99786200000001
76,38.9442177508,-77.3482974919,2020-04-07 21:15:59.090937,0.002972213032311868,0.2671007274795097,1.00071,76.99857200000001
77,38.9441883598,-77.3482976594,2020-04-07 21:16:00.092183,0.0032681621923489365,0.2703688896718586,1.001246,77.999818
78,38.9441558899,-77.3483035794,2020-04-07 21:16:01.092640,0.0036466075352289775,0.2740154972070876,1.000457,79.000275
79,38.944121173,-77.3483128798,2020-04-07 21:16:02.088699,0.0039432459257203855,0.277958743132808,0.996059,79.996334
80,38.9440871696,-77.3483259942,2020-04-07 21:16:03.092557,0.003947448311624391,0.2819061914444324,1.003858,81.000192
81,38.9440517372,-77.3483368415,2020-04-07 21:16:04.090944,0.004050046979669262,0.28595623842410167,0.998387,81.99857899999999
82,38.9440137736,-77.3483426773,2020-04-07 21:16:05.092524,0.004251422989443012,0.2902076614135447,1.00158,83.000159
83,38.9439763531,-77.3483507781,2020-04-07 21:16:06.090285,0.004219536021310354,0.29442719743485507,0.997761,83.99792
84,38.9439393674,-77.3483548019,2020-04-07 21:16:07.092565,0.00412731860367536,0.29855451603853045,1.00228,85.00019999999999
85,38.9439015949,-77.3483617344,2020-04-07 21:16:08.089815,0.004242685532502078,0.3027972015710325,0.99725,85.99744999999999
86,38.9438640572,-77.3483698097,2020-04-07 21:16:09.092508,0.004232023435496127,0.3070292250065286,1.002693,87.00014299999998
87,38.9438265793,-77.3483724857,2020-04-07 21:16:10.092678,0.004173773469691967,0.31120299847622057,1.00017,88.00031299999998
88,38.9437904217,-77.348375736,2020-04-07 21:16:11.092670,0.00403035614978619,0.31523335462600677,0.999992,89.00030499999998
89,38.943753374,-77.3483752069,2020-04-07 21:16:12.089207,0.00411977041000552,0.31935312503601226,0.996537,89.99684199999999
90,38.9437142101,-77.3483771447,2020-04-07 21:16:13.092595,0.004358050442477264,0.32371117547848954,1.003388,91.00022999999999
91,38.9436757223,-77.3483769847,2020-04-07 21:16:14.090381,0.00427967046730161,0.32799084594579114,0.997786,91.99801599999999
92,38.9436372323,-77.3483741604,2020-04-07 21:16:15.092610,0.004286856934469823,0.332277702880261,1.002229,93.00024499999999
93,38.9436008473,-77.3483738336,2020-04-07 21:16:16.089907,0.004045926122264193,0.33632362900252516,0.997297,93.997542
94,38.9435660504,-77.3483740786,2020-04-07 21:16:17.092551,0.0038692967571291267,0.34019292575965426,1.002644,95.000186
95,38.9435311892,-77.3483717611,2020-04-07 21:16:18.089377,0.003881566548380052,0.34407449230803433,0.996826,95.997012
